Timestamp,  1.Age Group  ,  2.Gender  ,  3.Profession  ,"Section 2: Style Preferences
4. How would you describe your go-to daily outfit? (Select one)  ", 5. What’s your favorite color palette for clothing?  , 6. Do you prioritize functionality or aesthetics in your outfits?  ,  7.Which of these best describes your wardrobe?  ,"Section 3: Shopping Habits
8. How often do you shop for new clothes?  ",  9.What influences your clothing purchases the most?  , 10. Where do you typically shop for clothes? (Select all that apply)  ,"Section 4: Lifestyle
11. How often do you attend formal events?  ",  12.Do you often experiment with new styles or stick to what you know?  , 13. What kind of footwear do you wear most often?  ,14. How active is your daily lifestyle?  ,"Section 5: Personal Preferences
15. How important is comfort in your clothing choices
"," 16.If you had to choose, would you prefer timeless pieces or trendy items?  ",17. From scale 1-10 how much do you think your clothing style reflects about your personality?,Section 2: Style Preferences,Column 18
22/01/2025 00:57:39,18–24,Male,Student,"Chic (e.g., tailored, stylish)","Dark tones (navy, maroon)",Equal balance of both,Mix-and-match (varied styles),Rarely,Trends,Fast fashion stores,- Frequently (weekly or monthly),Sometimes experiment,Boots,Moderately active,- Extremely important,Equal mix of both,9,,
22/01/2025 01:37:44,18–24,Female,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Equal balance of both,Mix-and-match (varied styles),Monthly,Comfort,Fast fashion stores,- Rarely (less than once a year),Sometimes experiment,Sneakers,Moderately active,- Somewhat important,"Mostly timeless, some trendy",7,,
22/01/2025 14:01:16,18–24,Male,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Slightly prefer functionality,Minimalist (few versatile pieces),Every few months,Price,Online retailers,- Occasionally (a few times a year),Sometimes experiment,Sneakers,Moderately active,- Extremely important,Always timeless,8,,
22/01/2025 19:11:41,18–24,Male,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Equal balance of both,Minimalist (few versatile pieces),Every few months,Comfort,Fast fashion stores,- Occasionally (a few times a year),Sometimes experiment,Sneakers,Mostly sedentary,- Somewhat important,"Mostly timeless, some trendy",8,,
22/01/2025 19:32:25,18–24,Male,Student,"Sporty (e.g., activewear, sneakers)","Neutral (black, white, beige)",Equal balance of both,Minimalist (few versatile pieces),Every few months,Brand reputation,Online retailers,- Rarely (less than once a year),Sometimes experiment,Other,Moderately active,- Somewhat unimportant,"Mostly trendy, some timeless",7,,
22/01/2025 19:49:02,18–24,Female,Student,"Casual (e.g., jeans, t-shirts)",Mixed or patterned,Equal balance of both,Specialized (specific to one style),Every few months,Comfort,Thrift stores,- Rarely (less than once a year),Rarely experiment,Sandals/Flats,Moderately active,- Neutral,Equal mix of both,8,,
24/01/2025 12:06:09,18–24,Male,Freelancer,"Sporty (e.g., activewear, sneakers)","Neutral (black, white, beige)",Strongly prefer functionality,Minimalist (few versatile pieces),Monthly,Comfort,Luxury brands,- Occasionally (a few times a year),Rarely experiment,Sneakers,Mostly sedentary,- Somewhat important,"Mostly timeless, some trendy",10,,
24/01/2025 12:32:30,18–24,Male,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Strongly prefer functionality,Mix-and-match (varied styles),Every few months,Sustainability,Thrift stores,- Rarely (less than once a year),Sometimes experiment,Sneakers,"Very active (e.g., gym, outdoor activities)",- Extremely important,"Mostly timeless, some trendy",8,,
24/01/2025 12:54:34,25–34,Female,Other,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Equal balance of both,Minimalist (few versatile pieces),Every few months,Comfort,Online retailers,- Occasionally (a few times a year),Sometimes experiment,Sneakers,Mostly sedentary,- Extremely important,"Mostly timeless, some trendy",9,,
24/01/2025 13:28:15,18–24,Male,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Equal balance of both,Minimalist (few versatile pieces),Every few months,Price,Fast fashion stores,- Frequently (weekly or monthly),Sometimes experiment,Boots,Moderately active,- Extremely important,Equal mix of both,8,,
24/01/2025 15:54:57,18–24,Male,Student,"Casual (e.g., jeans, t-shirts)","Bright (yellow, red, green)",Equal balance of both,Minimalist (few versatile pieces),Rarely,Trends,Fast fashion stores,- Rarely (less than once a year),Rarely experiment,Other,Moderately active,- Extremely important,"Mostly timeless, some trendy",2,,
24/01/2025 18:16:56,Under 18,Male,Student,"Casual (e.g., jeans, t-shirts)",Mixed or patterned,Strongly prefer functionality,Mix-and-match (varied styles),Monthly,Comfort,Fast fashion stores,- Occasionally (a few times a year),Always experiment,Other,Moderately active,- Extremely important,Always trendy,7,,
25/01/2025 09:49:05,18–24,Female,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Equal balance of both,Specialized (specific to one style),Monthly,Comfort,Fast fashion stores,- Rarely (less than once a year),Sometimes experiment,Sneakers,Moderately active,- Somewhat unimportant,"Mostly timeless, some trendy",6,,
25/01/2025 09:49:05,18–24,Female,Student,"Casual (e.g., jeans, t-shirts)","Dark tones (navy, maroon)",Equal balance of both,Mix-and-match (varied styles),Weekly,Trends,Online retailers,- Occasionally (a few times a year),Sometimes experiment,Heels/Loafers,"Very active (e.g., gym, outdoor activities)",- Extremely important,"Mostly trendy, some timeless",8,,
25/01/2025 09:56:28,18–24,Female,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Equal balance of both,Mix-and-match (varied styles),Every few months,Comfort,Thrift stores,- Rarely (less than once a year),Sometimes experiment,Sandals/Flats,Moderately active,- Somewhat important,Equal mix of both,8,,
25/01/2025 18:16:01,18–24,Female,Student,"Casual (e.g., jeans, t-shirts)","Pastels (soft pink, baby blue)",Equal balance of both,Mix-and-match (varied styles),Weekly,Trends,Fast fashion stores,- Occasionally (a few times a year),Sometimes experiment,Sandals/Flats,Moderately active,- Neutral,"Mostly trendy, some timeless",10,,
26/01/2025 08:09:56,18–24,Female,Student,"Formal (e.g., suits, dresses)","Neutral (black, white, beige)",Equal balance of both,Minimalist (few versatile pieces),Rarely,Price,Local boutiques,- Rarely (less than once a year),Rarely experiment,Sneakers,Moderately active,- Somewhat important,"Mostly timeless, some trendy",7,,
29/01/2025 22:45:32,18–24,Female,Student,"Casual (e.g., jeans, t-shirts)","Dark tones (navy, maroon)",Equal balance of both,Mix-and-match (varied styles),Every few months,Price,Online retailers,- Occasionally (a few times a year),Sometimes experiment,Sneakers,Moderately active,- Somewhat important,Equal mix of both,7,,
29/01/2025 22:49:31,18–24,Male,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Slightly prefer functionality,Minimalist (few versatile pieces),Every few months,Comfort,Online retailers,- Occasionally (a few times a year),Rarely experiment,Sandals/Flats,Moderately active,- Extremely important,Always timeless,6,,
29/01/2025 22:49:59,18–24,Male,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Equal balance of both,Mix-and-match (varied styles),Every few months,Brand reputation,Fast fashion stores,- Occasionally (a few times a year),Sometimes experiment,Sneakers,"Very active (e.g., gym, outdoor activities)",- Somewhat important,Equal mix of both,7,,
29/01/2025 22:54:39,18–24,Male,Student,"Bohemian (e.g., flowy, patterned)","Neutral (black, white, beige)",Equal balance of both,Mix-and-match (varied styles),Every few months,Price,Local boutiques,- Occasionally (a few times a year),Always experiment,Sneakers,"Very active (e.g., gym, outdoor activities)",- Somewhat important,"Mostly timeless, some trendy",9,,
29/01/2025 23:06:54,18–24,Male,Student,"Sporty (e.g., activewear, sneakers)","Neutral (black, white, beige)",Equal balance of both,Mix-and-match (varied styles),Every few months,Sustainability,Online retailers,- Occasionally (a few times a year),Rarely experiment,Sneakers,"Very active (e.g., gym, outdoor activities)",- Extremely important,Equal mix of both,5,,
29/01/2025 23:16:19,18–24,Male,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Slightly prefer functionality,Minimalist (few versatile pieces),Monthly,Sustainability,Online retailers,- Occasionally (a few times a year),Sometimes experiment,Sneakers,"Very active (e.g., gym, outdoor activities)",- Extremely important,"Mostly timeless, some trendy",6,,
29/01/2025 23:29:16,18–24,Female,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Equal balance of both,Minimalist (few versatile pieces),Every few months,Comfort,Online retailers,- Rarely (less than once a year),Sometimes experiment,Sneakers,Moderately active,- Extremely important,"Mostly timeless, some trendy",5,,
29/01/2025 23:38:35,18–24,Female,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Equal balance of both,Minimalist (few versatile pieces),Every few months,Sustainability,Online retailers,- Rarely (less than once a year),Sometimes experiment,Sneakers,Mostly sedentary,- Somewhat important,"Mostly timeless, some trendy",7,,
29/01/2025 23:42:16,18–24,Male,Student,"Sporty (e.g., activewear, sneakers)",Mixed or patterned,Slightly prefer functionality,Mix-and-match (varied styles),Every few months,Sustainability,Local boutiques,- Frequently (weekly or monthly),Always experiment,Sneakers,"Very active (e.g., gym, outdoor activities)",- Extremely important,"Mostly timeless, some trendy",8,,
30/01/2025 00:10:33,18–24,Male,Student,"Casual (e.g., jeans, t-shirts)",Mixed or patterned,Slightly prefer functionality,Minimalist (few versatile pieces),Rarely,,Luxury brands,- Rarely (less than once a year),Rarely experiment,Sandals/Flats,Moderately active,- Somewhat important,Equal mix of both,5,,
30/01/2025 00:11:04,18–24,Male,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Equal balance of both,Mix-and-match (varied styles),Every few months,Comfort,Online retailers,- Occasionally (a few times a year),Sometimes experiment,Sneakers,Moderately active,- Extremely important,Equal mix of both,8,,
30/01/2025 00:23:40,18–24,Male,Student,"Formal (e.g., suits, dresses)","Neutral (black, white, beige)",Strongly prefer functionality,Specialized (specific to one style),Monthly,Comfort,Online retailers,- Occasionally (a few times a year),Always experiment,Sneakers,"Very active (e.g., gym, outdoor activities)",- Extremely important,Equal mix of both,8,,
30/01/2025 08:33:56,18–24,Male,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Equal balance of both,Mix-and-match (varied styles),Weekly,Brand reputation,Luxury brands,- Rarely (less than once a year),Sometimes experiment,Sneakers,"Very active (e.g., gym, outdoor activities)",- Somewhat important,Always timeless,9,,
30/01/2025 09:29:10,18–24,Female,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Equal balance of both,Mix-and-match (varied styles),Every few months,Comfort,Luxury brands,- Occasionally (a few times a year),Sometimes experiment,Sneakers,Moderately active,- Extremely important,"Mostly trendy, some timeless",8,,
30/01/2025 09:55:51,18–24,Male,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Equal balance of both,Minimalist (few versatile pieces),Every few months,Comfort,Fast fashion stores,- Occasionally (a few times a year),Sometimes experiment,Sneakers,Moderately active,- Extremely important,Equal mix of both,7,,
30/01/2025 12:08:35,18–24,Female,Student,"Sporty (e.g., activewear, sneakers)","Pastels (soft pink, baby blue)",Equal balance of both,Mix-and-match (varied styles),Every few months,Trends,Thrift stores,- Frequently (weekly or monthly),Sometimes experiment,Heels/Loafers,Moderately active,- Neutral,"Mostly trendy, some timeless",5,,
30/01/2025 12:10:01,18–24,Male,Student,"Casual (e.g., jeans, t-shirts)",Mixed or patterned,Strongly prefer functionality,Minimalist (few versatile pieces),Rarely,Comfort,Online retailers,- Rarely (less than once a year),Rarely experiment,Sneakers,"Very active (e.g., gym, outdoor activities)",- Extremely important,Equal mix of both,6,,
30/01/2025 12:10:55,18–24,Male,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Slightly prefer functionality,Mix-and-match (varied styles),Monthly,Price,Thrift stores,- Frequently (weekly or monthly),Sometimes experiment,Sneakers,Moderately active,- Extremely important,Equal mix of both,8,,
30/01/2025 12:19:53,18–24,Male,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Equal balance of both,Mix-and-match (varied styles),Every few months,Comfort,Luxury brands,- Occasionally (a few times a year),Sometimes experiment,Sneakers,Moderately active,- Extremely important,"Mostly timeless, some trendy",8,,
30/01/2025 12:24:12,18–24,Male,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Slightly prefer aesthetics,Mix-and-match (varied styles),Monthly,Comfort,Online retailers,- Occasionally (a few times a year),Sometimes experiment,Sneakers,Moderately active,- Extremely important,Equal mix of both,6,,
30/01/2025 12:27:51,18–24,Male,Student,"Casual (e.g., jeans, t-shirts)","Dark tones (navy, maroon)",Equal balance of both,Minimalist (few versatile pieces),Rarely,Comfort,Online retailers,- Occasionally (a few times a year),Rarely experiment,Sneakers,Mostly sedentary,- Extremely important,"Mostly timeless, some trendy",8,,
30/01/2025 12:29:28,18–24,Male,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Equal balance of both,Minimalist (few versatile pieces),Every few months,Brand reputation,Thrift stores,- Occasionally (a few times a year),Sometimes experiment,Boots,Moderately active,- Somewhat important,Equal mix of both,10,,
30/01/2025 12:35:41,18–24,Female,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Slightly prefer functionality,Minimalist (few versatile pieces),Every few months,Comfort,Luxury brands,- Occasionally (a few times a year),Sometimes experiment,Sneakers,Moderately active,- Somewhat important,"Mostly timeless, some trendy",9,,
30/01/2025 12:37:35,18–24,Male,Student,"Casual (e.g., jeans, t-shirts)","Dark tones (navy, maroon)",Equal balance of both,Minimalist (few versatile pieces),Every few months,Comfort,Online retailers,- Occasionally (a few times a year),Rarely experiment,Sneakers,"Very active (e.g., gym, outdoor activities)",- Extremely important,Equal mix of both,8,,
30/01/2025 12:39:27,18–24,Male,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Equal balance of both,Mix-and-match (varied styles),Every few months,Trends,Online retailers,- Frequently (weekly or monthly),Sometimes experiment,Sneakers,Moderately active,- Extremely important,"Mostly trendy, some timeless",7,,
30/01/2025 12:39:42,18–24,Female,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Slightly prefer aesthetics,Minimalist (few versatile pieces),Every few months,Comfort,Online retailers,- Rarely (less than once a year),Rarely experiment,Sneakers,Moderately active,- Extremely important,Equal mix of both,9,,
30/01/2025 12:41:40,18–24,Male,Student,"Formal (e.g., suits, dresses)","Neutral (black, white, beige)",Equal balance of both,Minimalist (few versatile pieces),Monthly,Brand reputation,Fast fashion stores,- Frequently (weekly or monthly),Sometimes experiment,Sneakers,"Very active (e.g., gym, outdoor activities)",- Extremely important,Always timeless,10,,
30/01/2025 12:43:40,18–24,Male,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Equal balance of both,Minimalist (few versatile pieces),Every few months,Brand reputation,Online retailers,- Rarely (less than once a year),Sometimes experiment,Sneakers,Moderately active,- Neutral,Always timeless,7,,
30/01/2025 12:44:52,18–24,Male,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Strongly prefer functionality,Mix-and-match (varied styles),Every few months,Trends,Thrift stores,- Occasionally (a few times a year),Sometimes experiment,Sneakers,Moderately active,- Somewhat important,"Mostly timeless, some trendy",8,,
30/01/2025 12:46:38,18–24,Male,Student,"Casual (e.g., jeans, t-shirts)","Dark tones (navy, maroon)",Equal balance of both,Minimalist (few versatile pieces),Monthly,Trends,Online retailers,- Frequently (weekly or monthly),Always experiment,Sneakers,Moderately active,- Neutral,Always timeless,8,,
30/01/2025 12:46:51,18–24,Female,Student,"Formal (e.g., suits, dresses)","Pastels (soft pink, baby blue)",Slightly prefer aesthetics,Minimalist (few versatile pieces),Every few months,Comfort,Local boutiques,- Frequently (weekly or monthly),Sometimes experiment,Sneakers,"Very active (e.g., gym, outdoor activities)",- Extremely important,Equal mix of both,10,,
30/01/2025 12:46:52,18–24,Female,Student,"Chic (e.g., tailored, stylish)","Pastels (soft pink, baby blue)",Equal balance of both,Minimalist (few versatile pieces),Monthly,Trends,Online retailers,- Frequently (weekly or monthly),Sometimes experiment,Sneakers,Moderately active,- Neutral,Equal mix of both,7,,
30/01/2025 12:47:04,18–24,Male,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Equal balance of both,Mix-and-match (varied styles),Every few months,Comfort,Online retailers,- Occasionally (a few times a year),Sometimes experiment,Sneakers,Moderately active,- Somewhat important,"Mostly timeless, some trendy",10,,
30/01/2025 12:49:54,18–24,Male,Student,"Sporty (e.g., activewear, sneakers)","Neutral (black, white, beige)",Slightly prefer functionality,Minimalist (few versatile pieces),Every few months,Trends,Local boutiques,- Frequently (weekly or monthly),Rarely experiment,Sneakers,"Very active (e.g., gym, outdoor activities)",- Extremely important,"Mostly timeless, some trendy",10,,
30/01/2025 12:51:16,18–24,Female,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Strongly prefer functionality,Mix-and-match (varied styles),Every few months,Price,Thrift stores,- Occasionally (a few times a year),Sometimes experiment,Sneakers,Moderately active,- Extremely important,"Mostly timeless, some trendy",8,,
30/01/2025 12:54:18,18–24,Male,Student,"Sporty (e.g., activewear, sneakers)","Neutral (black, white, beige)",Slightly prefer functionality,Specialized (specific to one style),Monthly,Brand reputation,Fast fashion stores,- Occasionally (a few times a year),Sometimes experiment,Sneakers,"Very active (e.g., gym, outdoor activities)",- Extremely important,Always timeless,8,,
30/01/2025 12:56:43,18–24,Female,Student,"Casual (e.g., jeans, t-shirts)","Bright (yellow, red, green)",Equal balance of both,Mix-and-match (varied styles),Weekly,Trends,Fast fashion stores,- Occasionally (a few times a year),Always experiment,Sneakers,Moderately active,- Somewhat important,"Mostly timeless, some trendy",7,,
30/01/2025 12:58:30,18–24,Female,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Equal balance of both,Minimalist (few versatile pieces),Monthly,Brand reputation,Fast fashion stores,- Rarely (less than once a year),Rarely experiment,Heels/Loafers,Moderately active,- Somewhat important,"Mostly trendy, some timeless",8,,
30/01/2025 12:58:32,18–24,Male,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Slightly prefer functionality,Mix-and-match (varied styles),Every few months,Price,Local boutiques,- Occasionally (a few times a year),Rarely experiment,Sneakers,Mostly sedentary,- Somewhat important,Always timeless,5,,
30/01/2025 13:01:13,18–24,Male,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Equal balance of both,Mix-and-match (varied styles),Rarely,Price,Online retailers,- Occasionally (a few times a year),Sometimes experiment,Sneakers,"Very active (e.g., gym, outdoor activities)",- Extremely important,Equal mix of both,8,,
30/01/2025 13:05:23,18–24,Male,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Equal balance of both,Mix-and-match (varied styles),Rarely,Comfort,Online retailers,- Rarely (less than once a year),Rarely experiment,Sneakers,Moderately active,- Extremely important,Equal mix of both,5,,
30/01/2025 13:06:01,18–24,Female,Student,"Sporty (e.g., activewear, sneakers)","Dark tones (navy, maroon)",Slightly prefer functionality,Mix-and-match (varied styles),Every few months,Trends,Online retailers,- Occasionally (a few times a year),Sometimes experiment,Boots,Moderately active,- Somewhat unimportant,"Mostly trendy, some timeless",9,,
30/01/2025 13:06:31,Under 18,Male,Student,"Sporty (e.g., activewear, sneakers)","Neutral (black, white, beige)",Strongly prefer functionality,Minimalist (few versatile pieces),Weekly,Trends,Luxury brands,- Rarely (less than once a year),Always experiment,Sneakers,Moderately active,- Extremely important,Always trendy,7,,
30/01/2025 13:06:46,18–24,Male,Student,"Casual (e.g., jeans, t-shirts)","Dark tones (navy, maroon)",Equal balance of both,Mix-and-match (varied styles),Every few months,Comfort,Online retailers,- Frequently (weekly or monthly),Always experiment,Boots,"Very active (e.g., gym, outdoor activities)",- Somewhat important,Equal mix of both,9,,
30/01/2025 13:07:38,Under 18,Male,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Slightly prefer aesthetics,Mix-and-match (varied styles),Every few months,Trends,Fast fashion stores,- Occasionally (a few times a year),Always experiment,Sneakers,Moderately active,- Neutral,Equal mix of both,7,,
30/01/2025 13:09:29,Under 18,Male,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Slightly prefer aesthetics,Mix-and-match (varied styles),Every few months,Trends,Fast fashion stores,- Occasionally (a few times a year),Rarely experiment,Sneakers,"Very active (e.g., gym, outdoor activities)",- Somewhat important,Equal mix of both,9,,
